user_session,items
003046ee-aebf-42bc-ac1a-fc7c4d12518c,"['appliances.kitchen.dishwasher', 'electronics.video.tv']"
019cff85-41a1-45b6-992c-8dd61d20b14d,"['appliances.kitchen.coffee_machine', 'appliances.kitchen.washer']"
019d5206-767a-44cd-a2f5-0d98ba80241c,"['apparel.shoes.keds', 'apparel.shoes']"
0219a96f-c17e-48a0-bb55-246dac76e398,"['computers.peripherals.mouse', 'computers.peripherals.monitor']"
02248c53-1655-4e66-8607-626d18e7eb63,"['electronics.video.tv', 'electronics.smartphone']"
02e3014e-1948-4127-b3c2-348ff6f3bce7,"['furniture.bedroom.blanket', 'furniture.bedroom.pillow']"
03045c4a-683a-4138-b1ad-2fb19a80d6df,"['electronics.audio.acoustic', 'computers.notebook']"
0309a2fe-b813-c16a-8388-89bd95996b3e,"['appliances.environment.vacuum', 'auto.accessories.alarm']"
031224bf-7ea3-4845-b343-2cd78f9886e3,"['apparel.shoes.keds', 'apparel.shoes']"
03411af5-98d6-4107-98aa-a53b2131436f,"['electronics.smartphone', 'computers.desktop']"
04219658-3f6a-46c8-9d92-ab399a1c1907,"['appliances.kitchen.grill', 'appliances.kitchen.toster', 'electronics.audio.headphone']"
0480ee57-46fc-4db3-b1e5-c4bbf537cb11,"['accessories.bag', 'accessories.wallet']"
049a46ce-807a-4bc1-be50-a7ce2856f3c9,"['electronics.smartphone', 'appliances.environment.air_heater']"
057234df-6811-4fad-b377-48257c3bf4ef,"['accessories.bag', 'appliances.kitchen.washer']"
05d61272-2a7d-4a1c-aff2-ae7f41a4067b,"['auto.accessories.compressor', 'auto.accessories.winch']"
06695674-34ea-47b0-8b25-2ebaf3037e4b,"['auto.accessories.player', 'electronics.audio.subwoofer']"
06baf84b-1606-4a1a-862e-abab3762372d,"['electronics.telephone', 'electronics.smartphone']"
072a1bcf-7300-44e6-b43a-9ebeab6b0dea,"['computers.desktop', 'computers.components.videocards']"
0743315c-767b-40c0-a2ef-3374f67ab82f,"['electronics.smartphone', 'electronics.clocks']"
08274ca9-ca72-483d-9828-684b4c7f0529,"['appliances.environment.vacuum', 'appliances.personal.hair_cutter']"
0846c307-e454-4f97-b007-08039a751220,"['computers.components.power_supply', 'computers.components.memory']"
0926e453-a93b-451d-aff4-d6e5e0a15f18,"['construction.tools.saw', 'construction.tools.drill']"
097f986d-fbc5-4b74-aaab-f6a5906de67b,"['furniture.bathroom.toilet', 'furniture.living_room.sofa']"
09ba57ec-6170-48e3-be00-b174bcbc8830,"['furniture.living_room.sofa', 'appliances.environment.water_heater']"
0a32687e-d24e-456e-8de5-b9c983361ef8,"['construction.tools.saw', 'construction.tools.drill']"
0af9b932-3053-4c4f-8cdc-46a73f3b018b,"['construction.tools.saw', 'construction.tools.drill']"
0bb8ef31-3148-4a14-9f2e-67f0a4a244f8,"['electronics.smartphone', 'electronics.audio.subwoofer']"
0c580fe2-eb83-46fa-bbb4-a12aaef4cb93,"['electronics.video.tv', 'electronics.audio.headphone']"
0d1a5aee-5912-4fe9-b0c1-47c4b895d52c,"['electronics.smartphone', 'electronics.clocks']"
0e7a78ac-78fa-4744-8907-2106497b742d,"['computers.notebook', 'electronics.audio.headphone']"
0e815cc7-9b49-4ce7-be5e-b4e201f0e3b3,"['auto.accessories.videoregister', 'auto.accessories.player', 'electronics.clocks']"
0e8c74e2-b78a-4abe-8359-96096e25f60c,"['electronics.video.tv', 'electronics.audio.acoustic', 'electronics.audio.music_tools.piano']"
0ef65a5f-b0ac-462d-9a95-2936e3e7ad30,"['computers.peripherals.mouse', 'computers.notebook']"
0fb2ea4b-52cc-45ac-94bc-6faaaec33d5d,"['computers.desktop', 'appliances.kitchen.meat_grinder']"
0ff03f3f-7364-4761-8066-db3cb472cd12,"['auto.accessories.videoregister', 'electronics.audio.subwoofer']"
100b634b-7597-4dbd-8af5-d74a068a70d4,"['appliances.kitchen.meat_grinder', 'appliances.kitchen.washer']"
10595a53-3414-452c-baa0-adb281272db5,"['computers.peripherals.printer', 'furniture.living_room.sofa']"
117e8c85-b924-4193-abdc-85382d26d177,"['auto.accessories.player', 'electronics.audio.subwoofer']"
11c6d513-6707-4e54-970f-67de14095db7,"['computers.components.cooler', 'apparel.shoes', 'appliances.personal.hair_cutter']"
11fa8c11-ec5b-4054-8015-1bca5dd9b69b,"['electronics.smartphone', 'apparel.tshirt', 'apparel.shirt']"
12b64f5e-1335-443f-8fa1-c75c489dd1c1,"['appliances.environment.vacuum', 'appliances.ironing_board']"
12f0bf5d-2d4a-4fe2-8428-4cc7c7284051,"['apparel.belt', 'electronics.clocks']"
131c798d-0cdf-46f8-845b-bc0d23aa1aa1,"['appliances.kitchen.refrigerators', 'appliances.kitchen.washer']"
