Customer_ID,Total_Amount,Age,Gender_Code,Session_Duration_Minutes,Pages_Viewed,Returning_Code,Delivery_Time_Days,Customer_Rating,Discount_Rate,Pages_Per_Minute,Is_Weekend,Spending_Level
CUST_00001,219.32,40,1,8.0,9.0,1,8.0,4.0,0.0,1.125,0.0,Medium
CUST_00002,332.34,33,1,3.0,8.0,1,8.0,5.0,0.0,2.6666666666666665,0.0,Medium
CUST_00003,66.44,42,1,9.0,5.0,0,3.0,5.0,0.0,0.5555555555555556,0.0,Low
CUST_00004,112.65,53,1,9.0,6.0,0,5.0,4.0,0.0,0.6666666666666666,0.0,Low
CUST_00005,349.45,32,1,13.0,7.0,0,3.0,3.0,0.0,0.5384615384615384,1.0,High
CUST_00006,131.96,32,0,17.0,9.0,1,4.0,5.0,0.0,0.5294117647058824,1.0,Medium
CUST_00007,150.41,53,0,19.0,13.0,1,2.0,3.0,0.055984434820812154,0.6842105263157895,0.0,Medium
CUST_00008,49.1,44,0,15.0,8.0,0,7.0,5.0,0.0,0.5333333333333333,0.0,Low
CUST_00009,55.89,29,1,13.0,3.0,0,14.0,3.0,0.05158662820295266,0.23076923076923078,1.0,Low
CUST_00010,215.13,41,1,22.0,9.0,1,5.0,5.0,0.059499868846725534,0.4090909090909091,0.0,Medium
CUST_00011,770.72,29,1,11.0,8.0,1,11.0,4.0,0.0,0.7272727272727273,0.0,High
CUST_00012,1090.15,29,2,3.0,8.0,0,4.0,3.0,0.0,2.6666666666666665,0.0,Very High
CUST_00013,53.73,37,0,3.0,6.0,1,10.0,4.0,0.0,2.0,1.0,Low
CUST_00014,30.18,18,0,9.0,9.0,1,14.0,3.0,0.0,1.0,0.0,Low
CUST_00015,284.16,18,1,12.0,16.0,0,2.0,3.0,0.0,1.3333333333333333,0.0,Medium
CUST_00016,868.4,28,0,10.0,9.0,1,3.0,3.0,0.014022140221402213,0.9,1.0,High
CUST_00017,67.22,22,1,3.0,8.0,1,6.0,5.0,0.0,2.6666666666666665,0.0,Low
CUST_00018,198.21,38,0,20.0,6.0,1,2.0,2.0,0.0,0.3,0.0,Medium
CUST_00019,321.57,24,0,8.0,10.0,1,4.0,5.0,0.1550750151081216,1.25,0.0,Medium
CUST_00020,303.91,18,0,9.0,4.0,1,6.0,1.0,0.0,0.4444444444444444,1.0,Medium
CUST_00021,449.19,52,0,14.0,6.0,0,2.0,5.0,0.15788980334076977,0.42857142857142855,1.0,High
CUST_00022,26.23,32,1,15.0,10.0,0,2.0,5.0,0.09395509499136442,0.6666666666666666,1.0,Low
CUST_00023,245.95,35,0,7.0,9.0,1,3.0,5.0,0.2573524971314693,1.2857142857142858,1.0,Medium
CUST_00024,79.59,18,0,6.0,11.0,0,4.0,3.0,0.0,1.8333333333333333,1.0,Low
CUST_00025,89.32,28,1,4.0,6.0,1,10.0,5.0,0.0,1.5,1.0,Low
CUST_00026,176.44,36,1,19.0,9.0,0,4.0,2.0,0.0,0.47368421052631576,0.0,Medium
CUST_00027,245.89,21,1,15.0,6.0,0,7.0,4.0,0.12087951376474795,0.4,0.0,Medium
CUST_00028,604.91,39,1,11.0,14.0,1,5.0,5.0,0.0,1.2727272727272727,0.0,High
CUST_00029,230.37,27,1,3.0,7.0,1,4.0,4.0,0.0,2.3333333333333335,0.0,Medium
CUST_00030,2497.83,31,0,12.0,11.0,1,7.0,4.0,0.0,0.9166666666666666,1.0,Very High
CUST_00031,131.13,27,1,34.0,8.0,0,5.0,2.0,0.0,0.23529411764705882,0.0,Medium
CUST_00032,88.67,57,1,11.0,8.0,1,7.0,2.0,0.0,0.7272727272727273,1.0,Low
CUST_00033,41.88,34,0,12.0,10.0,0,7.0,2.0,0.0,0.8333333333333334,0.0,Low
CUST_00034,2028.13,22,0,11.0,6.0,1,3.0,5.0,0.06418763035012275,0.5454545454545454,1.0,Very High
CUST_00035,9406.46,44,0,6.0,9.0,1,10.0,1.0,0.0,1.5,0.0,Very High
CUST_00036,2424.48,20,1,2.0,8.0,1,11.0,5.0,0.03731263277015625,4.0,0.0,Very High
CUST_00037,59.08,37,0,19.0,11.0,0,2.0,5.0,0.0,0.5789473684210527,0.0,Low
CUST_00038,391.05,18,0,9.0,7.0,0,8.0,4.0,0.0,0.7777777777777778,0.0,High
CUST_00039,471.56,19,1,5.0,10.0,0,7.0,5.0,0.0,2.0,0.0,High
CUST_00040,361.87,37,1,12.0,7.0,0,2.0,5.0,0.013010037093606807,0.5833333333333334,1.0,High
CUST_00041,3767.04,43,0,22.0,9.0,0,6.0,4.0,0.0,0.4090909090909091,0.0,Very High
CUST_00042,1058.96,37,0,8.0,6.0,1,6.0,4.0,0.0936510381896301,0.75,1.0,Very High
CUST_00043,650.45,33,0,4.0,12.0,1,3.0,5.0,0.0,3.0,1.0,High
CUST_00044,271.36,31,0,32.0,16.0,0,4.0,5.0,0.2797919210149159,0.5,1.0,Medium
CUST_00045,241.44,18,0,12.0,7.0,1,4.0,5.0,0.0929446239386881,0.5833333333333334,0.0,Medium
CUST_00046,140.24,26,0,19.0,8.0,1,5.0,3.0,0.0,0.42105263157894735,0.0,Medium
CUST_00047,183.08,29,1,22.0,12.0,1,4.0,4.0,0.0920001983831771,0.5454545454545454,0.0,Medium
CUST_00048,139.34,47,1,4.0,7.0,1,4.0,4.0,0.0,1.75,0.0,Medium
CUST_00049,266.28,39,1,7.0,11.0,1,2.0,5.0,0.0,1.5714285714285714,0.0,Medium
CUST_00050,933.58,18,0,13.0,10.0,1,9.0,5.0,0.0,0.7692307692307693,0.0,High
CUST_00051,1222.37,38,0,10.0,10.0,0,4.0,4.0,0.0,1.0,0.0,Very High
CUST_00052,101.46,30,0,7.0,11.0,1,5.0,5.0,0.11666376458297058,1.5714285714285714,0.0,Low
CUST_00053,1351.08,26,1,16.0,8.0,1,11.0,1.0,0.0,0.5,1.0,Very High
CUST_00054,3314.93,42,0,16.0,8.0,1,3.0,5.0,0.0,0.5,0.0,Very High
CUST_00055,567.2,47,1,15.0,14.0,1,4.0,3.0,0.03586605473397927,0.9333333333333333,1.0,High
CUST_00056,199.44,46,1,14.0,6.0,1,7.0,5.0,0.11115072644620734,0.42857142857142855,0.0,Medium
CUST_00057,97.88,24,0,16.0,9.0,0,8.0,2.0,0.17574736842105265,0.5625,0.0,Low
CUST_00058,844.32,31,0,21.0,11.0,1,3.0,2.0,0.0,0.5238095238095238,0.0,High
CUST_00059,187.42,38,2,9.0,9.0,0,6.0,1.0,0.0,1.0,1.0,Medium
CUST_00060,19.74,46,1,28.0,8.0,1,3.0,5.0,0.0,0.2857142857142857,0.0,Low
CUST_00061,21478.35,29,0,9.0,8.0,1,3.0,4.0,0.0,0.8888888888888888,0.0,Very High
CUST_00062,1218.98,32,1,3.0,11.0,1,10.0,4.0,0.0,3.6666666666666665,0.0,Very High
CUST_00063,922.6,21,1,13.0,8.0,1,4.0,5.0,0.0,0.6153846153846154,0.0,High
CUST_00064,377.6,20,0,11.0,14.0,1,11.0,4.0,0.08745982261533627,1.2727272727272727,1.0,High
CUST_00065,164.43,44,0,6.0,10.0,1,3.0,4.0,0.0,1.6666666666666667,0.0,Medium
CUST_00066,1344.46,51,0,33.0,10.0,1,7.0,4.0,0.0,0.30303030303030304,0.0,Very High
CUST_00067,1547.76,34,1,14.0,7.0,1,3.0,1.0,0.0,0.5,0.0,Very High
CUST_00068,2613.26,47,0,14.0,13.0,1,5.0,3.0,0.1854867113207018,0.9285714285714286,0.0,Very High
CUST_00069,103.32,39,1,18.0,8.0,1,1.0,2.0,0.0,0.4444444444444444,0.0,Low
CUST_00070,193.72,27,0,27.0,8.0,1,7.0,5.0,0.09183816979982186,0.2962962962962963,1.0,Medium
CUST_00071,52.97,39,1,12.0,6.0,1,4.0,3.0,0.0,0.5,0.0,Low
CUST_00072,604.93,53,1,9.0,12.0,1,5.0,4.0,0.0,1.3333333333333333,1.0,High
CUST_00073,875.18,34,0,10.0,11.0,1,4.0,4.0,0.0,1.1,0.0,High
CUST_00074,1545.66,53,0,27.0,7.0,0,7.0,3.0,0.0,0.25925925925925924,0.0,Very High
CUST_00075,250.32,18,1,24.0,9.0,0,4.0,5.0,0.051458885941644564,0.375,1.0,Medium
