cluster,behavior,rank,category,count
0,view,1,electronics.smartphone,33985
0,view,2,electronics.clocks,3657
0,view,3,electronics.audio.headphone,3308
0,view,4,computers.notebook,3280
0,view,5,electronics.video.tv,3131
2,purchase,1,electronics.smartphone,1067
2,purchase,2,electronics.audio.headphone,111
2,purchase,3,electronics.clocks,59
2,purchase,4,electronics.video.tv,55
2,purchase,5,appliances.environment.vacuum,40
3,view,1,electronics.smartphone,2450
3,view,2,computers.notebook,396
3,view,3,electronics.clocks,373
3,view,4,electronics.audio.headphone,261
3,view,5,electronics.video.tv,251
4,view,1,electronics.smartphone,50
4,view,2,electronics.audio.headphone,8
4,view,3,appliances.sewing_machine,3
4,view,4,electronics.video.tv,3
4,view,5,computers.notebook,2
4,purchase,1,electronics.smartphone,63
4,purchase,2,electronics.audio.headphone,11
4,purchase,3,computers.notebook,4
4,purchase,4,electronics.tablet,2
4,purchase,5,electronics.clocks,2
5,view,1,electronics.smartphone,120
5,view,2,electronics.video.tv,11
5,view,3,electronics.clocks,7
5,view,4,electronics.audio.headphone,7
5,view,5,appliances.kitchen.blender,7
6,view,1,electronics.smartphone,496
6,view,2,computers.notebook,96
6,view,3,electronics.clocks,56
6,view,4,appliances.kitchen.washer,53
6,view,5,electronics.video.tv,52
