product_id,category_code,brand,price,view_count,purchase_count,revenue,conversion_rate
1004856,electronics.smartphone,samsung,130.76,1437,76,9972.05,5.29
1004767,electronics.smartphone,samsung,254.82,1312,65,16181.63,4.95
1005115,electronics.smartphone,apple,975.57,1213,35,34499.06,2.89
1004249,electronics.smartphone,apple,739.81,737,31,22896.59,4.21
1005105,electronics.smartphone,apple,1415.48,717,21,29575.15,2.93
1004833,electronics.smartphone,samsung,174.76,683,37,6371.5599999999995,5.42
1002544,electronics.smartphone,apple,464.13,646,35,16128.06,5.42
1004870,electronics.smartphone,samsung,286.86,640,43,12249.2,6.72
4804056,electronics.audio.headphone,apple,161.98,627,46,7394.78,7.34
1004741,electronics.smartphone,xiaomi,185.71,522,23,4392.2,4.41
1004873,electronics.smartphone,samsung,388.81,482,24,8958.26,4.98
1004836,electronics.smartphone,samsung,241.19,468,17,3923.9700000000003,3.63
1004739,electronics.smartphone,xiaomi,197.55,458,14,2667.57,3.06
1005160,electronics.smartphone,xiaomi,231.41,435,17,3746.9300000000003,3.91
1002524,electronics.smartphone,apple,515.67,409,30,15860.880000000001,7.33
1002633,electronics.smartphone,apple,360.08,408,24,8604.2,5.88
1004785,electronics.smartphone,huawei,278.55,388,17,4637.92,4.38
1005100,electronics.smartphone,samsung,154.42,378,12,1719.04,3.17
4804295,electronics.audio.headphone,xiaomi,23.13,375,17,385.3,4.53
1004565,electronics.smartphone,huawei,177.47,368,20,3372.11,5.43
1005135,electronics.smartphone,apple,1747.79,367,9,15632.15,2.45
1004750,electronics.smartphone,samsung,197.43,367,16,3147.46,4.36
1003317,electronics.smartphone,apple,957.53,366,14,13303.8,3.83
1003306,electronics.smartphone,apple,587.56,361,18,10508.84,4.99
1004838,electronics.smartphone,oppo,179.35,350,9,1525.61,2.57
1004659,electronics.smartphone,samsung,787.18,342,15,11016.91,4.39
4804055,electronics.audio.headphone,apple,189.91,283,11,2097.42,3.89
1004258,electronics.smartphone,apple,735.05,251,4,2993.25,1.59
1005014,electronics.smartphone,samsung,614.55,250,7,3982.15,2.8
1801690,electronics.video.tv,samsung,368.04,247,5,1846.8600000000001,2.02
1004777,electronics.smartphone,xiaomi,136.4,245,6,811.3499999999999,2.45
1004858,electronics.smartphone,samsung,134.42,242,11,1447.99,4.55
1801766,electronics.video.tv,artel,150.71,240,4,597.79,1.67
1005239,electronics.smartphone,xiaomi,282.89,239,6,1536.9499999999998,2.51
1004781,electronics.smartphone,huawei,278.31,218,8,2143.7200000000003,3.67
1003310,electronics.smartphone,apple,746.29,213,6,4201.57,2.82
1004246,electronics.smartphone,apple,736.18,206,6,4522.03,2.91
1005159,electronics.smartphone,xiaomi,231.41,205,4,909.17,1.95
3600661,appliances.kitchen.washer,samsung,295.49,201,3,892.4200000000001,1.49
1005008,electronics.smartphone,xiaomi,103.08,201,6,589.61,2.99
1004768,electronics.smartphone,samsung,253.36,200,3,747.1800000000001,1.5
1004903,electronics.smartphone,huawei,111.79,194,4,444.19,2.06
1004857,electronics.smartphone,samsung,130.73,185,2,261.01,1.08
1004237,electronics.smartphone,apple,1080.72,184,7,7607.79,3.8
5100337,electronics.clocks,apple,311.72,184,3,949.17,1.63
1004209,electronics.smartphone,samsung,92.64,179,11,975.75,6.15
1004957,electronics.smartphone,xiaomi,348.53,175,4,1381.72,2.29
1801881,electronics.video.tv,samsung,506.29,174,2,987.84,1.15
1005104,electronics.smartphone,apple,975.57,172,4,3968.81,2.33
1005116,electronics.smartphone,apple,1052.79,170,14,14769.349999999999,8.24
1005161,electronics.smartphone,xiaomi,231.41,167,3,674.8,1.8
4802036,electronics.audio.headphone,apple,171.56,166,3,526.6800000000001,1.81
1005073,electronics.smartphone,samsung,1206.45,164,2,2269.63,1.22
1004794,electronics.smartphone,xiaomi,244.54,164,4,902.6700000000001,2.44
1004708,electronics.smartphone,huawei,159.77,163,6,923.39,3.68
1004720,electronics.smartphone,huawei,130.65,159,3,369.35,1.89
1005031,electronics.smartphone,xiaomi,205.48,157,2,372.95,1.27
1004766,electronics.smartphone,samsung,253.29,156,0,0.0,0.0
1003304,electronics.smartphone,apple,579.16,156,9,5248.03,5.77
1004250,electronics.smartphone,apple,804.21,155,6,4821.51,3.87
1004227,electronics.smartphone,apple,1011.58,154,7,7028.28,4.55
1004433,electronics.smartphone,samsung,257.15,154,2,514.3,1.3
3700926,appliances.environment.vacuum,samsung,64.08,153,6,384.06,3.92
1005003,electronics.smartphone,huawei,258.21,151,2,488.24,1.32
1003316,electronics.smartphone,apple,946.97,149,4,3720.14,2.68
1005098,electronics.smartphone,samsung,154.42,146,8,1161.33,5.48
4803977,electronics.audio.headphone,samsung,107.8,145,8,860.15,5.52
1307073,computers.notebook,acer,669.0,141,4,2766.2400000000002,2.84
1004875,electronics.smartphone,samsung,388.68,140,6,2262.18,4.29
1004872,electronics.smartphone,samsung,286.35,137,8,2261.78,5.84
1004665,electronics.smartphone,samsung,871.14,135,3,2421.54,2.22
1005132,electronics.smartphone,apple,1413.16,133,4,5636.110000000001,3.01
1004958,electronics.smartphone,xiaomi,360.07,129,7,2319.86,5.43
1002547,electronics.smartphone,apple,470.77,129,3,1390.44,2.33
1005102,electronics.smartphone,xiaomi,463.04,128,3,1303.84,2.34
3600163,appliances.kitchen.washer,indesit,179.67,127,1,182.41,0.79
1004321,electronics.smartphone,huawei,243.25,123,2,540.04,1.63
1004835,electronics.smartphone,samsung,230.89,123,4,915.46,3.25
1005006,electronics.smartphone,xiaomi,90.59,123,3,264.43,2.44
1004834,electronics.smartphone,samsung,174.78,123,10,1728.87,8.13
1801739,electronics.video.tv,samsung,282.2,118,1,289.56,0.85
1004788,electronics.smartphone,xiaomi,133.67,117,6,823.15,5.13
1004749,electronics.smartphone,samsung,203.35,116,1,193.02,0.86
1003549,electronics.smartphone,samsung,344.64,116,0,0.0,0.0
1003312,electronics.smartphone,apple,711.59,114,3,2087.99,2.63
1004566,electronics.smartphone,huawei,175.76,113,3,503.06000000000006,2.65
1004505,electronics.smartphone,xiaomi,463.07,112,0,0.0,0.0
1005217,electronics.smartphone,xiaomi,167.05,110,3,475.12,2.73
3601244,appliances.kitchen.washer,lg,339.75,109,4,1442.9099999999999,3.67
5100376,electronics.clocks,xiaomi,68.01,107,2,135.82,1.87
1005156,electronics.smartphone,xiaomi,308.63,107,1,375.69,0.93
1005118,electronics.smartphone,apple,975.57,107,6,5949.29,5.61
1004792,electronics.smartphone,xiaomi,466.91,106,0,0.0,0.0
1005157,electronics.smartphone,xiaomi,282.89,106,3,864.0799999999999,2.83
1002629,electronics.smartphone,apple,377.14,106,7,2532.8199999999997,6.6
5100577,electronics.clocks,samsung,295.94,104,5,1470.05,4.81
1005106,electronics.smartphone,apple,1541.87,103,6,9117.17,5.83
1005112,electronics.smartphone,apple,975.57,102,3,3022.94,2.94
1005186,electronics.smartphone,samsung,771.94,102,6,4631.64,5.88
1005015,electronics.smartphone,samsung,604.88,102,1,594.85,0.98
1004653,electronics.smartphone,samsung,636.05,101,4,2428.85,3.96
1005124,electronics.smartphone,apple,1634.51,101,4,6545.25,3.96
3600666,appliances.kitchen.washer,samsung,319.14,100,0,0.0,0.0
1005021,electronics.smartphone,oppo,386.06,100,3,1158.2,3.0
1005129,electronics.smartphone,apple,1413.16,100,3,4169.71,3.0
1005101,electronics.smartphone,xiaomi,447.86,99,1,424.46,1.01
1004839,electronics.smartphone,oppo,179.39,97,4,693.77,4.12
6000094,auto.accessories.alarm,starline,121.24,95,3,363.71999999999997,3.16
1306650,computers.notebook,acer,437.57,95,2,875.14,2.11
1004990,electronics.smartphone,oppo,257.38,95,1,255.32,1.05
1004840,electronics.smartphone,huawei,963.2,94,0,0.0,0.0
1004863,electronics.smartphone,samsung,174.76,94,8,1373.57,8.51
1002528,electronics.smartphone,apple,643.23,93,1,566.04,1.08
1004795,electronics.smartphone,xiaomi,244.25,93,1,220.08,1.08
1005099,electronics.smartphone,samsung,154.3,92,3,426.94,3.26
1005144,electronics.smartphone,apple,1747.79,90,2,3489.77,2.22
1004849,electronics.smartphone,huawei,962.02,90,0,0.0,0.0
2702277,appliances.kitchen.refrigerators,lg,463.31,89,1,465.72,1.12
1004961,electronics.smartphone,oppo,179.33,89,1,179.14,1.12
4803878,electronics.audio.headphone,xiaomi,43.24,87,3,127.86,3.45
1307366,computers.notebook,lenovo,248.63,87,1,248.63,1.15
1005121,electronics.smartphone,apple,949.83,87,3,3006.88,3.45
1005062,electronics.smartphone,xiaomi,205.38,86,3,584.88,3.49
1004709,electronics.smartphone,huawei,155.71,86,3,459.68,3.49
1003768,electronics.smartphone,huawei,485.54,85,0,0.0,0.0
1004934,electronics.smartphone,vivo,231.64,85,1,203.58,1.18
1004886,electronics.smartphone,oppo,153.04,85,3,437.0,3.53
1005069,electronics.smartphone,vivo,321.73,84,2,590.69,2.38
1004871,electronics.smartphone,samsung,286.68,84,2,570.04,2.38
4804572,electronics.audio.headphone,apple,208.5,83,3,715.5799999999999,3.61
1801929,electronics.video.tv,samsung,560.89,83,2,1059.69,2.41
1005158,electronics.smartphone,xiaomi,308.63,82,1,316.58,1.22
3601489,appliances.kitchen.washer,samsung,476.18,82,0,0.0,0.0
5100855,electronics.clocks,apple,617.52,81,2,1205.13,2.47
1004436,electronics.smartphone,samsung,180.16,80,1,190.46,1.25
5100572,electronics.clocks,apple,419.6,79,4,1689.4,5.06
5100719,electronics.clocks,samsung,151.61,79,0,0.0,0.0
4700478,auto.accessories.videoregister,sho-me,142.86,78,2,284.5,2.56
1005072,electronics.smartphone,samsung,1043.19,78,2,2021.4499999999998,2.56
1801805,electronics.video.tv,artel,256.79,78,3,724.75,3.85
